groups	x1	x2
I	3.98762437493366	2.14362358067026
I	-1.23840389041065	0.401614158888825
I	-0.484685132730314	0.65285374478227
I	-0.0616857937823296	0.793853524431599
I	-0.899256378756351	0.514663329440258
I	-0.864166284919287	0.526360027385946
I	1.6789626433587	1.37406967014528
I	0.381320794092147	0.941522387056424
I	0.785740072346225	1.07632881314112
I	3.84172079391694	2.09498905366469
I	1.09223297841641	1.17849311516451
I	4.63188130761896	2.35837589156536
I	3.97893152190721	2.14072596299478
I	1.04278444313065	1.16201027006926
I	3.40085423313777	1.94803353340497
I	1.25827439990542	1.23384025566085
I	-0.783947451705291	0.553099638457278
I	0.0957611836170822	0.846335850231403
I	0.549519999521519	0.997588788866215
I	2.03899985717279	1.49408207474997
II	2.95911766668019	2.41987517981204
II	2.75750487360234	2.35267091545275
II	3.65843920846162	2.65298236040584
II	-0.38250219764519	1.30600189170357
II	3.60886742362694	2.63645843212762
II	1.97578128409774	2.09209638561788
II	2.82791197085413	2.37613994787002
II	2.58710970593818	2.29587252623136
II	0.224913233587554	1.50847370211449
II	1.28539619457608	1.861968022444
III	-0.00344761336914567	1.0645744887157
III	2.38089475011011	1.85935527654212
III	1.46880823713775	1.55532643888467
III	1.18512876852619	1.46076661601415
III	0.672093231470744	1.289754770329
III	0.459640106055843	1.21893706185737
III	2.7990990876167	1.99875672237765
III	-0.354866167736153	0.947434970593369
III	1.08939717432186	1.42885608461271
III	1.77532127781561	1.65749745244396
III	3.13065472224476	2.10927526725367
III	0.25385330245547	1.15034146065724
III	0.874679793190652	1.35728362423564
III	-0.664500088430338	0.844223663695307
III	0.716310273309854	1.30449378427537
III	0.700539000841283	1.29923669345251
III	3.32860529186817	2.17525879046148
III	2.18961396111757	1.79559501354461
III	1.45361710392659	1.55026272781428
III	2.69943691376389	1.96553599776005
III	0.908715397633943	1.36862882571673
III	1.29132676341475	1.49616594764367
III	1.85355843030219	1.68357650327282
III	3.86357273819015	2.3535812725688
III	2.38843931427631	1.86187013126419
III	2.02438299354562	1.74051802435396
III	-1.04897344585414	0.716065877887374
III	1.78020434570498	1.65912514174041
III	1.55181609649977	1.58299572533868
III	-0.0470325239585159	1.05004618518591
III	1.4173861312746	1.53818573693029
III	1.54156183787783	1.57957763913136
III	2.11834019754829	1.77183709235485
III	2.36003994940331	1.85240367630652
III	1.78128263431941	1.65948457127855
III	2.96670360394032	2.05462489448553
III	2.45656021246941	1.88457709732856
III	3.03303943265215	2.07673683738947
III	3.19385417450515	2.13034175134047
III	2.35376418034223	1.85031175328616
