Year,age
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2004,0
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2002,2
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2001,3
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
2000,4
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1999,5
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1998,6
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1997,7
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1996,8
1995,9
1995,9
